Technique;Study;Code;Excluded;Replication_probability;Replication_rel_effect_size;Difficulty;DOI
PCR;1;PCR11;FALSE;59,6111111111111;60,8888888888889;53,8888888888889;10.1530/JME-17-0041
PCR;2;PCR114;FALSE;60,1764705882353;64,1764705882353;37,4117647058824;10.3109/10715762.2013.814126
PCR;3;PCR125;FALSE;58,0555555555556;67,1111111111111;55,1666666666667;10.1111/bcpt.12183
PCR;4;PCR126;FALSE;58,1666666666667;67,9444444444444;58,1666666666667;10.1038/srep25802
PCR;5;PCR139;FALSE;68,9444444444444;79,1666666666667;42,2222222222222;10.1007/s11010-014-2054-y
PCR;6;PCR147;FALSE;74,1666666666667;48,3888888888889;37,4444444444444;10.1002/cyto.a.22220
PCR;7;PCR158;FALSE;59,4444444444444;72,3333333333333;39,0000000000000;10.1016/j.ejps.2009.04.006
PCR;8;PCR16;FALSE;62,8235294117647;55,8235294117647;40,7058823529412;10.1016/j.bbrc.2015.01.045
PCR;9;PCR166;FALSE;59,8235294117647;68,2941176470588;46,2352941176471;10.1007/s12013-013-9719-0
PCR;10;PCR175;FALSE;62,2222222222222;55,8888888888889;44,6111111111111;10.1097/CAD.0000000000000342
PCR;11;PCR184;FALSE;48,9444444444444;38,5000000000000;38,0000000000000;10.1016/j.jnutbio.2004.04.008
PCR;12;PCR23;FALSE;55,6666666666667;54,4444444444444;40,3888888888889;10.1007/s11626-016-0103-4
PCR;13;PCR29;FALSE;44,1176470588235;35,7058823529412;38,8235294117647;10.1007/s12253-009-9223-4
PCR;14;PCR35;FALSE;40,5555555555556;31,0000000000000;50,1111111111111;10.1007/s10565-007-9004-3
PCR;15;PCR40;FALSE;52,5555555555556;52,9444444444444;61,0555555555556;10.1590/S1984-82502015000200006
PCR;16;PCR42;FALSE;36,4444444444444;31,7222222222222;41,6666666666667;10.1007/s11010-008-9877-3
PCR;17;PCR61;FALSE;47,3750000000000;56,8750000000000;43,8750000000000;10.1002/jcb.25181
PCR;18;PCR69;FALSE;59,6111111111111;70,2222222222222;55,8888888888889;10.1016/j.tiv.2015.05.010
PCR;19;PCR75;FALSE;60,6666666666667;64,5000000000000;63,9444444444444;10.1089/scd.2013.0592
PCR;20;PCR79;FALSE;42,5000000000000;31,8333333333333;52,3333333333333;10.3892/ijmm.2011.691
MTT;1;MTT13;FALSE;56,4090909090909;75,0000000000000;31,5000000000000;10.3109/15376516.2014.920447
MTT;2;MTT18;FALSE;49,0000000000000;44,0476190476191;28,3809523809524;10.1007/s00232-013-9607-y
MTT;3;MTT26;FALSE;54,8571428571429;41,0000000000000;37,8571428571429;10.3109/15376516.2016.1159770
MTT;4;MTT28;TRUE;62,0454545454545;73,2272727272727;30,0000000000000;10.1002/pros.22960
MTT;5;MTT30;FALSE;67,5454545454545;71,6818181818182;27,8636363636364;10.1016/j.bioorg.2017.04.011
MTT;6;MTT33;FALSE;55,5238095238095;69,6666666666667;54,1428571428571;10.1016/j.phymed.2016.11.008
MTT;7;MTT37;FALSE;52,9523809523809;64,2380952380952;35,3809523809524;10.1016/j.tiv.2015.11.004
MTT;8;MTT4;FALSE;47,4545454545455;57,3636363636364;33,9090909090909;10.1155/2017/4151594
MTT;9;MTT42;FALSE;61,3333333333333;72,6666666666667;33,8095238095238;10.1111/jphp.12002
MTT;10;MTT45;TRUE;61,1818181818182;63,0909090909091;36,5909090909091;10.1007/s12035-016-0135-5
MTT;11;MTT52;FALSE;69,2272727272727;73,8636363636364;29,7272727272727;10.1002/jcb.26034
MTT;12;MTT56;FALSE;53,7142857142857;68,5714285714286;28,7142857142857;10.1007/s11010-014-1974-x
MTT;13;MTT60;FALSE;50,1363636363636;54,6818181818182;63,6818181818182;10.1016/j.bbadis.2012.11.010
MTT;14;MTT67;TRUE;66,0000000000000;80,5454545454545;31,5454545454545;10.1159/000107514
MTT;15;MTT71;FALSE;71,0952380952381;88,2380952380952;31,7142857142857;10.1016/j.bbagen.2016.10.018
MTT;16;MTT81;FALSE;56,5238095238095;71,0952380952381;36,3809523809524;10.3390/molecules17066305
MTT;17;MTT83;FALSE;61,5454545454545;80,5454545454545;24,0909090909091;10.1016/j.biochi.2013.02.013
MTT;18;MTT86;FALSE;60,1363636363636;81,5909090909091;30,0454545454545;10.1007/s11302-017-9559-2
MTT;19;MTT87;FALSE;63,7142857142857;63,9523809523809;42,3333333333333;10.1016/j.bbi.2010.12.012
MTT;20;MTT96;FALSE;61,0000000000000;93,7142857142857;42,9523809523809;10.1590/S0100-879X2004000200007
EPM;1;EPM1;FALSE;48,3571428571429;44,0000000000000;42,7857142857143;10.1007/s11011-015-9682-0
EPM;2;EPM11;FALSE;63,5000000000000;72,1071428571429;29,3928571428571;10.1007/s00213-003-1558-z
EPM;3;EPM13;FALSE;44,6428571428571;62,5000000000000;58,3214285714286;10.1007/s11064-013-1049-5
EPM;4;EPM15;FALSE;45,1428571428571;51,1428571428571;60,2142857142857;10.1016/j.bbr.2016.01.026
EPM;5;EPM18;FALSE;53,8928571428571;71,8928571428571;55,5357142857143;10.1016/j.neuro.2008.11.008
EPM;6;EPM19;FALSE;50,0000000000000;70,1333333333333;44,8666666666667;10.1016/j.pbb.2011.08.029
EPM;7;EPM2;FALSE;71,4642857142857;86,2142857142857;31,1785714285714;10.1016/j.lfs.2004.10.040
EPM;8;EPM21;FALSE;66,1724137931034;80,0689655172414;52,0689655172414;10.1016/j.neulet.2017.07.008
EPM;9;EPM25;FALSE;53,0000000000000;57,8400000000000;38,1600000000000;10.1007/s00213-010-1985-6
EPM;10;EPM27;FALSE;40,1785714285714;44,5357142857143;53,6071428571429;10.1007/s00726-016-2365-2
EPM;11;EPM28;FALSE;50,3571428571429;56,3928571428571;60,6428571428571;10.1016/j.pbb.2004.09.001
EPM;12;EPM29;FALSE;51,1724137931034;57,7241379310345;38,6206896551724;10.1007/s12011-014-9960-4
EPM;13;EPM31;FALSE;64,5357142857143;69,7857142857143;67,5357142857143;10.1016/S0091-3057(01)00560-3
EPM;14;EPM37;FALSE;66,3928571428571;78,6071428571429;66,2857142857143;10.1016/j.brainresbull.2006.10.004
EPM;15;EPM39;FALSE;35,8800000000000;42,8800000000000;46,7200000000000;10.1007/s12035-016-9987-y
EPM;16;EPM43;FALSE;54,9642857142857;63,5357142857143;67,3928571428571;10.1016/j.pbb.2007.08.008
EPM;17;EPM45;FALSE;42,1034482758621;59,2413793103448;39,3793103448276;10.1007/s00213-003-1545-4
EPM;18;EPM46;FALSE;54,0357142857143;69,7142857142857;71,7857142857143;10.1016/j.bbr.2007.10.023
EPM;19;EPM5;FALSE;58,3928571428571;75,6785714285714;49,4642857142857;10.1016/j.brainres.2007.07.007
EPM;20;EPM9;FALSE;58,9285714285714;75,3571428571429;34,2500000000000;10.1016/j.pbb.2010.05.019
